Percent of Students Chronically Absent,Percent HRA Eligible,Student Percent - Black and Hispanic,Percent Students with IEPs,log_dropout_rate,log_temp_housing,log_percent_overage,Economic Need Index,Percent English Language Learners,Average Grade 8 Proficiency,Percent College Ready based on SAT Math,Metric Value - College Persistence,Supportive Environment - Element Score,Graduation Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Took_ACT,Rigorous Instruction - Element Score,Percentage of Students Enrolled in Any Advanced Course,log_enrollment
0.532,0.813,0.895,0.267,0.06062462181643484,0.11778303565638346,0.03246719013750141,0.878,0.042,2.615,0.06,0.38,3.93,0.926,0.00686,0.271,0.0,3.77,0.345,6.1092475827643655
0.05,0.67,0.045,0.054,0.0,0.12133228516752496,0.01291622526654623,0.754,0.113,3.67,0.94,0.869,3.73,0.989,0.00759,1.0,1.0,3.39,0.633,5.924255797414531
0.517,0.76,0.765,0.245,0.02955880224154443,0.142367241286922,0.04018178963283176,0.83,0.07,2.885,0.263,0.622,3.61,0.937,0.00718,0.414,0.0,3.55,0.629,6.023447592961033
0.355,0.51,0.617,0.272,0.035367143837291344,0.04688358589885046,0.009950330853168092,0.588,0.03,2.925,0.296,0.492,3.83,0.9365,0.00792,0.657,0.0,2.3,0.573,6.208590026096629
0.353,0.603,0.646,0.163,0.054961558073974334,0.09075436326846413,0.03343477608623742,0.681,0.031,3.01,0.089,0.523,3.79,0.8915,0.00764,0.384,1.0,3.25,0.452,5.786897381366708
0.372,0.7,0.881,0.193,0.05188062187698888,0.1115413747329073,0.014888612493750559,0.776,0.035,2.95,0.092,0.578,3.84,0.9265,0.00778,0.876,1.0,3.88,0.395,7.382124365737512
0.416,0.591,0.681,0.237,0.0,0.11064652008706365,0.03052920503482279,0.69,0.054,3.04,0.193,0.533,3.92,0.9535,0.00799,0.404,0.0,4.08,0.724,5.552959584921617
0.454,0.737,0.811,0.27,0.005484930230569745,0.09257918129309317,0.018821754240587667,0.806,0.047,2.705,0.088,0.491,3.26,0.953,0.00732,0.672,0.0,3.15,0.63,6.0473721790462776
0.347,0.406,0.546,0.234,0.004987541511038968,0.04783732941416006,0.01291622526654623,0.491,0.012,3.3,0.301,0.581,3.2,0.961,0.00818,0.96,1.0,3.12,0.613,7.289610521451168
0.646,0.832,0.781,0.242,0.12486898204586927,0.1823215567939546,0.071389996086673,0.901,0.084,2.4850000000000003,0.045,0.39,2.84,0.878,0.0070599999999999,0.701,0.0,2.39,0.442,5.739792912179234
0.257,0.211,0.323,0.201,0.0,0.042101176018635326,0.009950330853168092,0.293,0.02,3.365,0.494,0.4853171247357294,3.91,1.0,0.00844,0.978,1.0,4.72,0.987,5.978885764901121
0.748,0.845,0.936,0.318,0.1505728584793744,0.16720791898390638,0.1275133202989597,0.912,0.155,2.435,0.025,0.283,3.0,0.827,0.00682,0.725,0.0,2.34,0.373,4.709530201312334
0.691,0.74,0.934,0.197,0.04401688541677426,0.16211884947643512,0.045928931888399735,0.816,0.063,2.615,0.056,0.449,3.35,0.928,0.0058499999999999,0.902,0.0,3.76,0.978,5.768320995793772
0.649,0.824,0.945,0.235,0.04401688541677426,0.11689375147149943,0.03825871211709027,0.888,0.107,2.66,0.062,0.413,3.09,0.9305,0.00679,0.488,0.0,3.94,0.397,5.730099782973574
0.625,0.817,0.913,0.205,0.03101405352916954,0.16974277458709455,0.050693114315518165,0.876,0.111,2.655,0.096,0.42,3.62,0.891,0.00643,0.404,0.0,3.25,0.635,6.006353159601733
0.459,0.798,0.943,0.199,0.0,0.16126814759612232,0.026641930946421092,0.853,0.037,2.675,0.042,0.478,2.88,1.0,0.00685,0.937,0.0,2.23,0.603,5.697093486505405
