,DBN,School Name,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent HRA Eligible,Teacher Percent - White,Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Percent Households on SNAP/Food Stamps,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT,college_persistence_ranking,log_dropout_rate,log_temp_housing,log_percent_overage,log_enrollment,log_nearby_student_distance,log_household_income
398,30Q501,frank sinatra school of the arts high school,0.666,0.332,0.002,0.0,0.165,0.336,0.255,0.667,0.612,0.556,0.0,0.792,6.1,0.983,0.29,0.964,0.00892,0.988,0.794,3.9,4.1,3.97,3.81,3.26,3.8,0.68,0.97,0.49,11106.0,0.071,0.508,0.53,0.102,0.392,0.888,0.152,0.988,0.3399999999999999,0.484,30,Queens,0.5,3.615,0.0,0.0,0.0,1.0,High,0.008959741371471801,0.017839918128331016,0.001998002662673058,6.732210706467206,1.7749523509116738,11.311176410510175
399,30Q502,information technology high school,0.309,0.691,0.0,0.106,0.182,0.823,0.762,0.411,0.615,0.35,0.071,0.726,5.0,0.839,0.234,0.96,0.0075599999999999,0.696,0.5,2.51,3.38,3.44,3.54,3.64,3.56,0.69,0.93,0.3,11101.0,0.06,0.625,0.48,0.081,0.386,0.889,0.1169999999999999,0.9235,0.734,0.253,30,Queens,0.152,2.755,0.0,0.0,0.0,1.0,Medium,0.054961558073974334,0.08250122151174377,0.016857117066422806,6.704414354964107,1.4350845252893227,11.60482985163972
400,30Q555,newcomers high school,0.42,0.58,0.0,0.902,0.029,0.0,0.496,0.361,0.258,0.628,0.073,0.666,2.1,0.639,0.525,0.965,0.00472,0.497,0.272,4.33,3.47,3.62,1.99,2.98,2.73,0.65,1.0,0.28,11101.0,0.06,0.625,0.48,0.081,0.386,0.889,0.1169999999999999,0.767,0.892,0.108,30,Queens,0.051,2.165,0.0,0.0,0.0,0.0,Low,0.10074990310014315,0.22314355131420976,0.2468600779315258,6.927557906278317,1.5040773967762742,11.60482985163972
401,30Q575,academy of american studies,0.541,0.459,0.0,0.028,0.105,0.571,0.507,0.581,0.358,0.595,0.248,0.794,12.1,0.77,0.261,0.957,0.00797,0.969,0.812,3.67,3.43,3.21,3.16,3.49,2.65,0.76,0.63,0.16,11101.0,0.06,0.625,0.48,0.081,0.386,0.889,0.1169999999999999,0.9765,0.385,0.608,30,Queens,0.5,3.405,0.0,0.0,1.0,1.0,High,0.01439588028373234,0.04114194333117521,0.009950330853168092,7.220373836723949,1.252762968495368,11.60482985163972
402,30Q580,baccalaureate school for global education,0.543,0.457,0.0,0.036,0.143,0.456,0.394,0.5,0.0,0.524,0.0,0.944,1.1,0.971,0.156,0.979,0.00851,0.932,0.836,3.58,3.09,3.5,3.13,1.97,3.64,0.74,0.91,0.27,11106.0,0.071,0.508,0.53,0.102,0.392,0.888,0.152,0.9885,0.227,0.737,30,Queens,0.807,3.75,0.0,1.0,0.0,1.0,High,0.0074720148387010564,0.02176149178151271,0.001998002662673058,6.028278520230699,1.252762968495368,11.311176410510175
403,31R028,the eagle academy for young men of staten island,0.0,1.0,0.0,0.087,0.427,0.872,0.767,0.533,0.33,0.301,0.0,0.437,9.2,0.733,0.704,0.958,0.00662,0.125,0.429,3.17,3.9,3.33,3.68,3.7,3.16,0.69,1.0,0.41,10304.0,0.061,0.309,0.437,0.109,0.318,0.8320000000000001,0.261,0.8035,0.913,0.068,31,Staten Island,0.0,2.275,0.0,0.0,0.0,0.0,Medium,0.06485097231961626,0.10165365372649982,0.018821754240587667,4.6443908991413725,0.47000362924573563,11.148794220355041
404,31R047,csi high school for international studies,0.488,0.512,0.0,0.016,0.191,0.509,0.449,0.769,0.344,0.244,0.0,0.523,13.0,0.962,0.198,0.967,0.00835,0.776,0.909,4.71,3.97,4.18,3.45,3.56,3.39,0.93,0.82,0.59,10314.0,0.053,0.372,0.387,0.1,0.275,0.895,0.077,0.988,0.314,0.672,31,Staten Island,0.588,3.215,0.0,0.0,1.0,1.0,High,0.007968169649176881,0.015873349156290163,0.009950330853168092,6.240275845170769,1.3083328196501787,11.546718010704978
405,31R064,gaynor mccown expeditionary learning school,0.49,0.51,0.0,0.013,0.268,0.511,0.442,0.844,0.201,0.216,0.564,0.645,4.1,0.938,0.392,0.96,0.00853,0.649,0.6,3.95,4.32,3.88,4.46,3.54,3.69,0.46,0.94,0.36,10314.0,0.053,0.372,0.387,0.1,0.275,0.895,0.077,0.968,0.349,0.5900000000000001,31,Staten Island,0.299,2.885,0.0,0.0,0.0,1.0,Medium,0.01636535408626423,0.024692612590371414,0.005982071677547469,6.161207321695076,1.252762968495368,11.546718010704978
406,31R080,the michael j. petrides school,0.477,0.523,0.0,0.019,0.25,0.566,0.499,0.832,0.327,0.265,0.0,0.41,19.5,0.822,0.466,0.962,0.00748,0.65,0.894,4.7,4.43,3.61,3.94,4.03,3.6,0.72,0.62,0.23,10301.0,0.059,0.397,0.3339999999999999,0.1159999999999999,0.221,0.862,0.181,0.97,0.51,0.45,31,Staten Island,0.252,2.94,0.0,0.0,0.0,1.0,High,0.008959741371471801,0.02955880224154443,0.003992021269537457,6.29156913955832,1.0647107369924282,11.348710981185306
407,31R440,new dorp high school,0.479,0.52,0.002,0.076,0.227,0.602,0.541,0.789,0.249,0.355,0.249,0.535,1.8,0.78,0.257,0.964,0.00743,0.804,0.567,4.15,3.77,3.74,4.29,2.81,3.38,0.81,0.95,0.34,10306.0,0.0579999999999999,0.322,0.344,0.111,0.252,0.8909999999999999,0.115,0.903,0.382,0.607,31,Staten Island,0.259,2.965,0.0,0.0,1.0,1.0,Medium,0.0577970987262166,0.03825871211709027,0.026641930946421092,8.062117582754738,1.1314021114911006,11.4590921052411
408,31R445,port richmond high school,0.488,0.511,0.001,0.146,0.319,0.793,0.702,0.698,0.125,0.402,0.144,0.477,5.2,0.791,0.402,0.965,0.00643,0.545,0.375,2.89,3.61,3.59,3.21,3.53,3.97,0.78,0.96,0.3,10302.0,0.067,0.294,0.392,0.1159999999999999,0.244,0.8909999999999999,0.198,0.855,0.765,0.2179999999999999,31,Staten Island,0.093,2.51,0.0,0.0,0.0,1.0,Medium,0.08892620919440149,0.09803374027136541,0.071389996086673,7.4570320891223805,0.7884573603642703,11.233066048935585
409,31R450,curtis high school,0.563,0.437,0.0,0.089,0.195,0.766,0.688,0.681,0.256,0.241,0.118,0.472,8.1,0.865,0.416,0.956,0.00763,0.649,0.543,3.0,3.57,3.33,3.75,2.87,3.33,0.66,0.94,0.17,10301.0,0.059,0.397,0.3339999999999999,0.1159999999999999,0.221,0.862,0.181,0.8140000000000001,0.769,0.203,31,Staten Island,0.216,2.8200000000000003,0.0,1.0,0.0,1.0,Medium,0.09803374027136541,0.06297479916138839,0.035367143837291344,7.6746174973643635,1.0986122886681098,11.348710981185306
410,31R455,tottenville high school,0.507,0.493,0.0,0.026,0.226,0.404,0.345,0.828,0.277,0.501,0.209,0.679,3.0,0.884,0.294,0.955,0.00819,0.794,0.656,3.57,3.77,3.52,3.82,2.77,3.25,0.77,0.89,0.13,10312.0,0.027,0.392,0.243,0.085,0.1669999999999999,0.884,0.048,0.9605,0.1959999999999999,0.786,31,Staten Island,0.343,3.265,0.0,0.0,0.0,1.0,Medium,0.01833095668472342,0.025667746748577813,0.016857117066422806,8.237743803890933,1.0647107369924282,11.584455116109151
411,31R460,susan e. wagner high school,0.506,0.493,0.001,0.049,0.204,0.554,0.483,0.751,0.255,0.403,0.1,0.522,6.1,0.892,0.192,0.957,0.00826,0.711,0.604,3.43,3.18,3.74,3.35,2.51,2.53,0.74,0.78,0.16,10314.0,0.053,0.372,0.387,0.1,0.275,0.895,0.077,0.919,0.425,0.5589999999999999,31,Staten Island,0.291,3.105,0.0,0.0,0.0,1.0,Medium,0.03609082014435369,0.04114194333117521,0.03343477608623742,7.982074875081202,1.1939224684724343,11.546718010704978
412,31R600,ralph r. mckee career and technical education high school,0.197,0.802,0.001,0.083,0.383,0.769,0.715,0.855,0.129,0.326,0.0,0.406,3.2,0.754,0.546,0.964,0.0077,0.773,0.31,2.77,3.57,3.55,3.59,3.442935982339956,3.45,0.39,0.38,0.17,10301.0,0.059,0.397,0.3339999999999999,0.1159999999999999,0.221,0.862,0.181,0.8534999999999999,0.772,0.182,31,Staten Island,0.124,2.535,0.0,0.0,0.0,0.0,Low,0.07417939817425147,0.055434706888100524,0.023716526617316065,6.603943824600473,1.1939224684724343,11.348710981185306
413,31R605,staten island technical high school,0.439,0.561,0.0,0.0,0.014,0.437,0.358,0.844,0.984,0.622,0.0,0.997,10.1,0.844,0.081,0.963,0.00929,1.0,0.87,4.53,4.48,4.65,3.94,2.74,4.24,0.99,1.0,0.85,10306.0,0.0579999999999999,0.322,0.344,0.111,0.252,0.8909999999999999,0.115,0.997,0.054,0.939,31,Staten Island,0.988,4.205,0.0,0.0,1.0,1.0,High,0.0,0.008959741371471801,0.0009995003330834232,7.226209010100671,1.8870696490323797,11.4590921052411
414,32K168,the brooklyn school for math and research,0.382,0.618,0.0,0.143,0.188,0.825,0.716,0.179,0.406,0.484,0.0,0.785,0.9,0.643,0.433,0.989,0.00694,1.0,0.567,3.89,3.83,3.76,4.09,4.23,3.76,0.82,1.0,0.88,11237.0,0.122,0.3939999999999999,0.561,0.096,0.3329999999999999,0.8859999999999999,0.195,0.937,0.857,0.141,32,Brooklyn,0.279,2.77,0.0,0.0,0.0,0.0,Medium,0.03052920503482279,0.11243542932978817,0.04114194333117521,5.817111159963204,1.0986122886681098,11.278935806715221
415,32K403,academy for excellence in leadership,0.433,0.567,0.0,0.39,0.23,0.914,0.691,0.375,0.245,0.621,0.0,0.663,8.6,0.75,0.365,0.956,0.00525,0.303,0.125,3.41,3.92,3.85,3.52,4.12,3.89,0.69,0.73,0.77,11237.0,0.122,0.3939999999999999,0.561,0.096,0.3329999999999999,0.8859999999999999,0.195,0.887,0.858,0.057,32,Brooklyn,0.014,2.325,0.0,0.0,0.0,0.0,Low,0.1275133202989597,0.2070141693843261,0.09803374027136541,5.645446897643238,0.5306282510621704,11.278935806715221
416,32K545,ebc high school for public service - bushwick,0.479,0.521,0.0,0.233,0.237,0.925,0.822,0.294,0.228,0.55,0.0,0.621,12.1,0.647,0.667,0.944,0.0057799999999999,0.482,0.293,3.75,3.66,3.5770989010989007,3.68,3.76,3.44,0.01,0.86,0.06,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.8915,0.961,0.019,32,Brooklyn,0.0,2.335,0.0,0.0,0.0,0.0,Low,0.0829615207143473,0.16805358499624976,0.07232066157962608,6.0844994130751715,0.7419373447293773,11.259335592686217
417,32K549,the brooklyn school for social justice,0.551,0.449,0.0,0.404,0.22,0.918,0.693,0.483,0.094,0.422,0.04,0.466,2.1,0.862,0.614,0.956,0.00638,0.5,0.143,3.19,2.28,3.44,2.65,4.2,3.37,0.63,0.9,0.55,11237.0,0.122,0.3939999999999999,0.561,0.096,0.3329999999999999,0.8859999999999999,0.195,0.881,0.939,0.057,32,Brooklyn,0.036,2.35,0.0,0.0,0.0,0.0,Low,0.13671382331582213,0.2110709700799404,0.08617769624105241,5.627621113690637,0.5306282510621704,11.278935806715221
418,32K552,the academy of urban planning and engineering,0.331,0.669,0.0,0.262,0.184,0.848,0.679,0.457,0.279,0.218,0.147,0.404,6.9,0.657,0.289,0.97,0.00631,0.671,0.232,3.65,3.8,3.61,3.71,3.53,3.71,0.84,1.0,0.33,11237.0,0.122,0.3939999999999999,0.561,0.096,0.3329999999999999,0.8859999999999999,0.195,0.9645,0.873,0.078,32,Brooklyn,0.118,2.575,0.0,0.0,0.0,0.0,Low,0.047360571359837574,0.1587116911548208,0.045928931888399735,6.013715156042801,0.6418538861723947,11.278935806715221
419,32K554,all city leadership secondary school,0.512,0.488,0.0,0.048,0.155,0.719,0.615,0.227,0.472,0.516,0.139,0.687,4.1,0.636,0.26,0.961,0.00779,0.833,0.641,4.44,4.67,4.16,3.86,3.3,3.67,0.67,1.0,0.27,11237.0,0.122,0.3939999999999999,0.561,0.096,0.3329999999999999,0.8859999999999999,0.195,0.992,0.786,0.1709999999999999,32,Brooklyn,0.651,3.57,0.0,0.0,0.0,0.0,Medium,0.007968169649176881,0.07603468627599758,0.007968169649176881,5.53338948872752,0.5877866649021191,11.278935806715221
420,32K556,bushwick leaders high school for academic excellence,0.511,0.489,0.0,0.31,0.264,0.936,0.797,0.5,0.341,0.511,0.047,0.703,2.7,0.677,0.644,0.989,0.00501,0.477,0.314,2.82,3.24,3.16,3.68,3.88,3.34,0.69,1.0,0.15,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.896,0.948,0.0409999999999999,32,Brooklyn,0.045,2.45,0.0,0.0,0.0,0.0,Low,0.04926624130291805,0.21026092548319605,0.06391332574365285,5.8998973535824915,0.832909122935104,11.259335592686217
421,84K037,beginning with children charter school ii,0.43,0.57,0.0,0.075,0.301,0.854,0.817,0.341,0.2555,0.3797047413793103,0.021,0.5719375,4.0,0.98,0.348,0.98,0.0069576397515527,0.6569582463465553,0.4853171247357294,3.96,4.32,3.92,4.12,4.57,4.31,0.76,0.84,0.49,11206.0,0.124,0.3289999999999999,0.5589999999999999,0.126,0.203,0.8109999999999999,0.3429999999999999,0.90875,0.989,0.011,84,Brooklyn,0.075,2.845,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.07232066157962608,0.0,4.543294782270004,1.1939224684724343,10.849492414393675
422,84K356,achievement first crown heights charter school,0.517,0.483,0.0,0.019,0.136,0.717,0.634,0.129,0.452,0.371,0.0,0.655,10.0,0.863,0.233,0.941,0.0065,0.877,0.676,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.08,0.84,0.05,11203.0,0.052,0.256,0.2,0.105,0.502,0.879,0.181,0.961,0.972,0.0209999999999999,84,Brooklyn,0.009,3.155,0.0,0.0,0.0,0.0,High,0.0,0.08065790301745454,0.03052920503482279,6.364750756851912,0.9555114450274365,11.127365920036636
423,84K358,achievement first east new york charter school,0.503,0.497,0.0,0.017,0.11,0.734,0.643,0.257,0.57,0.168,0.0,0.594,4.5,0.68,0.262,0.957,0.00665,0.916,0.667,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.0,0.84,0.0,11207.0,0.094,0.192,0.311,0.138,0.305,0.82,0.33,0.9445,0.965,0.0269999999999999,84,Brooklyn,0.0,3.645,0.0,0.0,0.0,0.0,High,0.0,0.04018178963283176,0.04401688541677426,6.144185634125646,1.2237754316221157,10.869900893813494
424,84K367,success academy charter school - bed stuy 1,0.516,0.484,0.0,0.0,0.066,0.534,0.429,0.371,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.109,0.957,0.0069576397515527,0.6569582463465553,0.4853171247357294,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.71,0.84,0.0,11206.0,0.124,0.3289999999999999,0.5589999999999999,0.126,0.203,0.8109999999999999,0.3429999999999999,0.90875,0.901,0.099,84,Brooklyn,0.075,3.78,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.07417939817425147,0.0,4.5217885770490405,1.589235205116581,10.849492414393675
425,84K406,"ember charter school for mindful education, innovation and transformation",0.471,0.529,0.0,0.086,0.257,0.834,0.743,0.4305543710021322,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.603,0.957,0.00743,0.45,0.4853171247357294,4.22,3.88,3.86,3.86,4.06,3.37,0.57,0.74,0.35,11233.0,0.062,0.311,0.201,0.124,0.244,0.8240000000000001,0.267,0.8,0.985,0.014,84,Brooklyn,0.0,3.0700000000000003,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.12133228516752496,0.028587456851912472,4.2626798770413155,0.832909122935104,10.96496894286603
426,84K473,williamsburg charter high school,0.545,0.455,0.0,0.105,0.198,0.852,0.769,0.188,0.03,0.265,0.041,0.267,3.0,0.93,0.628,0.95,0.0058499999999999,0.299,0.418,3.25,3.7,3.03,2.88,3.29,2.92,0.39,0.77,0.21,11206.0,0.124,0.3289999999999999,0.5589999999999999,0.126,0.203,0.8109999999999999,0.3429999999999999,0.8775,0.974,0.023,84,Brooklyn,0.0,2.665,0.0,0.0,1.0,1.0,Medium,0.008959741371471801,0.09984533496971612,0.09984533496971612,6.892641641172089,1.0647107369924282,10.849492414393675
427,84K517,leadership preparatory bedford stuyvesant charter school,0.496,0.504,0.0,0.023,0.157,0.744,0.64,0.298,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.368,0.957,0.00565,0.883,0.655,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.18,0.06,11216.0,0.04,0.545,0.21,0.102,0.222,0.8909999999999999,0.143,0.9115,0.953,0.0399999999999999,84,Brooklyn,0.0,3.12,0.0,0.0,0.0,0.0,Medium,0.011928570865273812,0.08342160813907237,0.02273948696948934,6.154858094016418,0.9555114450274365,11.43696192616319
428,84K608,kings collegiate charter school,0.475,0.525,0.0,0.032,0.103,0.805,0.734,0.255,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.436,0.957,0.00524,0.904,0.627,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.26,0.26,0.1,11212.0,0.081,0.157,0.218,0.151,0.336,0.804,0.435,0.9395,0.97,0.018,84,Brooklyn,0.0,3.085,0.0,0.0,0.0,0.0,Medium,0.0,0.10345870836822997,0.03729578474369693,6.222576268071369,0.832909122935104,10.486847768485333
429,84K626,achievement first brownsville charter school,0.454,0.546,0.0,0.049,0.121,0.788,0.704,0.204,0.541,0.227,0.0,0.553,4.3,0.77,0.477,0.955,0.0065599999999999,0.714,0.436,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.07,11233.0,0.062,0.311,0.201,0.124,0.244,0.8240000000000001,0.267,0.8205,0.963,0.037,84,Brooklyn,0.027,3.25,0.0,0.0,0.0,0.0,Medium,0.0,0.071389996086673,0.04305948946044701,6.006353159601733,0.9162907318741551,10.96496894286603
430,84K652,brooklyn ascend charter school,0.419,0.581,0.0,0.05,0.192,0.817,0.747,0.207,0.603,0.0,0.0,0.603,9.0,0.51,0.258,0.84,0.0058099999999999,0.108,0.462,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.0,11212.0,0.081,0.157,0.218,0.151,0.336,0.804,0.435,0.79,0.972,0.0279999999999999,84,Brooklyn,0.227,2.865,0.0,0.0,1.0,0.0,Medium,0.07232066157962608,0.10074990310014315,0.010939940038334263,5.888877958332881,0.5877866649021191,10.486847768485333
431,84K680,achievement first aspire charter school,0.369,0.631,0.0,0.068,0.165,0.798,0.709,0.059,0.0,0.01,0.0,0.01,3.0,0.48,0.268,0.938,0.0069576397515527,0.6569582463465553,0.4853171247357294,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.05,11208.0,0.088,0.154,0.5,0.081,0.3939999999999999,0.885,0.318,0.90875,0.951,0.038,84,Brooklyn,0.075,2.9850000000000003,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.11867152971749854,0.018821754240587667,4.6443908991413725,0.9162907318741551,10.938432051980694
432,84K693,northside charter high school,0.477,0.523,0.0,0.083,0.23,0.82,0.751,0.0,0.2555,0.3797047413793103,0.021,0.5719375,3.0,0.7,0.593,0.95,0.00639,0.375,0.5,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.02,0.84,0.04,11222.0,0.037,0.648,0.331,0.071,0.264,0.94,0.067,0.9085,0.951,0.039,84,Brooklyn,0.0,2.575,0.0,0.0,0.0,0.0,Medium,0.009950330853168092,0.08617769624105241,0.07325046173959274,6.016157159698353,1.0647107369924282,11.746027267898315
433,84K712,excellence girls charter school,0.425,0.575,0.0,0.031,0.242,0.757,0.646,0.227,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.686,0.957,0.00531,0.779,0.653,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.14,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.934,0.927,0.064,84,Brooklyn,0.0,2.895,0.0,0.0,0.0,0.0,Medium,0.013902905168991214,0.08157998699242285,0.03729578474369693,6.354370040797351,1.0647107369924282,11.259335592686217
434,84K730,summit academy charter school,0.436,0.564,0.0,0.114,0.286,0.905,0.843,0.289,0.121,0.314,0.0,0.379,17.0,0.64,0.5,0.95,0.00718,0.488,0.368,4.36,3.53,4.04,3.2,4.23,4.07,0.81,0.74,0.21,11231.0,0.046,0.691,0.2239999999999999,0.072,0.173,0.909,0.156,0.8745,0.971,0.028,84,Brooklyn,0.093,2.39,0.0,0.0,0.0,0.0,Medium,0.045928931888399735,0.08250122151174377,0.07603468627599758,4.9487598903781675,1.2237754316221157,11.778338922075076
435,84K733,"math, engineering, and science academy charter high school",0.481,0.519,0.0,0.187,0.153,0.867,0.766,0.367,0.224,0.128,0.263,0.475,7.0,0.73,0.998,0.975,0.00711,0.746,0.528,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.0,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.9205,0.925,0.038,84,Brooklyn,0.008,2.705,1.0,0.0,0.0,0.0,Medium,0.01980262729617973,0.11689375147149943,0.042101176018635326,6.234410725718371,0.47000362924573563,11.259335592686217
436,84K738,new visions charter high school for advanced math and science iii,0.413,0.587,0.0,0.047,0.157,0.712,0.627,0.4305543710021322,0.234,0.423,0.05,0.52,9.0,0.44,0.393,0.84,0.0074,0.6,0.667,3.43,3.91,3.39,3.85,4.24,3.63,0.91,1.0,0.93,11235.0,0.057,0.496,0.759,0.15,0.623,0.865,0.2289999999999999,0.988,0.903,0.076,84,Brooklyn,0.011,2.735,0.0,0.0,0.0,0.0,High,0.02078253918252841,0.08617769624105241,0.08342160813907237,5.998936561946683,1.547562508716013,11.023877640745798
437,84K739,new visions charter high school for the humanities iii,0.636,0.364,0.0,0.0,0.0,0.628,0.545,0.4305543710021322,0.2555,0.3797047413793103,0.021,0.5719375,4.0,0.88,0.4173440643863179,0.81,0.0069576397515527,0.238,0.565,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.71,0.84,0.29,11235.0,0.057,0.496,0.759,0.15,0.623,0.865,0.2289999999999999,0.979,0.909,0.091,84,Brooklyn,0.0,3.395,0.0,0.0,0.0,0.0,Medium,0.023716526617316065,0.08709470685093375,0.16720791898390638,2.4849066497880004,0.9932517730102836,11.023877640745798
438,84K744,coney island preparatory public charter school,0.478,0.522,0.0,0.084,0.213,0.823,0.739,0.326,0.199,0.357,0.039,0.553,4.0,0.58,0.607,0.95,0.00755,0.699,0.615,3.66,3.34,3.2,2.93,3.74,3.02,0.74,0.86,0.51,11224.0,0.079,0.3389999999999999,0.557,0.2,0.455,0.775,0.434,0.922,0.73,0.252,84,Brooklyn,0.0,2.885,0.0,0.0,1.0,0.0,Medium,0.055907631938296086,0.051643233151838386,0.01980262729617973,5.877735781779639,0.9162907318741551,10.60826681732578
439,84K757,unity preparatory charter school of brooklyn,0.429,0.571,0.0,0.029,0.254,0.768,0.675,0.0,0.643,0.668,0.0,0.729,5.0,0.92,0.423,0.94,0.006,0.375,0.493,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.01,0.84,0.01,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.8935,0.968,0.028,84,Brooklyn,0.0,2.6500000000000004,0.0,0.0,1.0,0.0,Medium,0.0,0.1336563848126736,0.031498667059371016,5.638354669333745,1.0296194171811581,11.259335592686217
440,84K775,leadership preparatory ocean hill charter school,0.442,0.558,0.0,0.02,0.124,0.655,0.556,0.228,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.496,0.957,0.00547,0.902,0.609,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.02,0.84,0.07,11212.0,0.081,0.157,0.218,0.151,0.336,0.804,0.435,0.964,0.949,0.049,84,Brooklyn,0.008,3.24,0.0,0.0,0.0,0.0,Medium,0.008959741371471801,0.07045846364856137,0.017839918128331016,6.234410725718371,1.0986122886681098,10.486847768485333
441,84K803,brooklyn laboratory charter school,0.424,0.576,0.0,0.071,0.293,0.827,0.768,0.0,0.774,0.0,0.0,0.774,1.5,0.49,0.325,0.95,0.00576,0.274,0.344,3.25,3.72,3.72,3.48,4.35,3.41,0.42,0.72,0.02,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.8049999999999999,0.95,0.044,84,Brooklyn,0.0,2.465,0.0,0.0,0.0,0.0,Medium,0.0,0.1527210870176639,0.06859279146561167,5.697093486505405,1.62924053973028,11.237804174563307
442,84K892,brooklyn emerging leaders academy charter school,1.0,0.0,0.0,0.038,0.199,0.741,0.648,0.297,0.2555,0.3797047413793103,0.021,0.5719375,6.1,0.8214999999999999,0.508,0.957,0.00627,0.672,0.654,3.4736402569593148,3.612055674518201,3.5770989010989007,3.56,3.442935982339956,3.45,0.0,0.84,0.0,11221.0,0.074,0.408,0.348,0.098,0.252,0.857,0.216,0.957,0.962,0.025,84,Brooklyn,0.0,2.965,0.0,0.0,0.0,0.0,Medium,0.027128667388252696,0.13453089295760606,0.05732506661926935,5.4680601411351315,1.1939224684724343,11.259335592686217
443,84K911,edmund w. gordon brooklyn laboratory charter school,0.38,0.62,0.0,0.045,0.28,0.84,0.775,0.0,0.2555,0.3797047413793103,0.021,0.5719375,1.5,0.49,0.269,0.95,0.00628,0.6569582463465553,0.4853171247357294,2.85,3.64,3.95,3.13,3.442935982339956,3.45,0.5,0.79,0.02,11226.0,0.061,0.349,0.325,0.067,0.424,0.848,0.25,0.81,0.935,0.05,84,Brooklyn,0.075,2.665,0.0,0.0,0.0,0.0,Medium,0.036331929247390204,0.1484200051182732,0.08617769624105241,5.303304908059076,1.62924053973028,11.237804174563307
444,84K928,brooklyn prospect charter school - csd 15.2,0.407,0.593,0.0,0.019,0.234,0.409,0.332,0.422,0.0,0.112,0.0,0.566,6.1,0.8214999999999999,0.005,0.957,0.00804,0.946,0.4853171247357294,3.97,3.72,4.09,3.0,3.6,3.48,0.63,0.37,0.52,11218.0,0.073,0.498,0.501,0.091,0.32,0.867,0.153,0.932,0.496,0.451,84,Brooklyn,0.0,3.195,0.0,1.0,0.0,0.0,Medium,0.033918218203460644,0.02761516703297339,0.035367143837291344,6.450470422144177,1.0296194171811581,11.382361094949111
