DBN,School Name,Enrollment,Percent Female,Percent Male,Percent Neither Female nor Male,Percent English Language Learners,Percent Students with IEPs,Economic Need Index,Percent Overage / Undercredited,Percent in Temp Housing,Percent HRA Eligible,Teacher Percent - White,Nearby Student Distance (mi),Percentage of Students Enrolled in an AP Course,Percentage of Students Enrolled in an Advanced Math or Science Course,Percentage of Students Enrolled in a College Credited Course,Percentage of Students Enrolled in Any Advanced Course,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Percent of Students Chronically Absent,Teacher Attendance Rate,Metric Value - Average Regents Score - English,Metric Value - College and Career Preparatory Course Index,Metric Value - College Persistence,Rigorous Instruction - Element Score,Collaborative Teachers - Element Score,Supportive Environment - Element Score,Effective School Leadership - Element Score,Strong Family-Community Ties - Element Score,Trust - Element Score,Student Survey Response Rate,Teacher Survey Response Rate,Parent Survey Response Rate,zip code,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,dropout_rate,Graduation Rate,Student Percent - Black and Hispanic,Student Percent - Other,District,Borough,Percent College Ready based on SAT Math,Average Grade 8 Proficiency,CLEP_enrolled,IB_enrolled,NYCPS_college_prep_enrolled,Took_ACT
02M413,school of the future high school,441.0,0.456,0.544,0.0,0.018,0.234,0.432,0.002,0.039,0.361,0.706,2.0,0.338,0.651,0.0,0.739,16.1,0.843,0.215,0.988,75.5,0.99,0.703,4.28,3.39,3.8,3.35,3.29,2.88,66.0,35.0,25.0,10010.0,1.0,80.4,23.3,6.6,21.4,93.4,150288.0,5.9,2.05,0.99,0.327,0.5940000000000001,02,Manhattan,0.549,3.27,0.0,0.0,1.0,1.0
02M414,n.y.c. museum school,483.0,0.534,0.466,0.0,0.019,0.197,0.438,0.002,0.031,0.366,0.531,4.0,0.542,0.497,0.006,0.652,2.2,0.938,0.033,0.966,84.7,0.801,0.705,3.82,3.3,3.94,3.56,3.2,3.66,80.0,76.0,28.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,0.0,1.0,0.34199999999999997,0.611,02,Manhattan,0.663,3.36,0.0,0.0,0.0,1.0
02M416,eleanor roosevelt high school,541.0,0.584,0.416,0.0,0.006,0.152,0.369,0.002,0.024,0.298,0.735,2.1,0.747,0.543,0.0,0.808,15.2,0.941,0.154,0.974,90.7,1.0,0.872,4.33,3.72,4.22,3.81,3.68,3.91,84.0,86.0,58.0,10021.0,0.7,79.3,24.6,7.2,17.8,94.3,149432.0,3.4,0.8,0.9964999999999999,0.266,0.693,02,Manhattan,0.867,3.765,0.0,0.0,0.0,1.0
02M418,millennium high school,665.0,0.546,0.454,0.0,0.017,0.156,0.49,0.006,0.056,0.412,0.698,2.9,0.344,0.483,0.017,0.665,11.2,0.884,0.081,0.96,87.7,0.993,0.842,3.0,3.4,4.04,3.31,2.66,3.58,83.0,91.0,35.0,10004.0,0.4,94.5,22.8,2.3,20.4,99.4,232543.0,0.0,0.0,0.9855,0.207,0.757,02,Manhattan,0.86,3.635,0.0,0.0,0.0,1.0
02M419,landmark high school,329.0,0.553,0.447,0.0,0.079,0.28,0.84,0.064,0.1,0.784,0.594,6.3,0.261,0.523,0.073,0.611,4.1,0.719,0.655,0.947,66.3,0.703,0.493,3.27,3.49,3.13,3.94,4.11,3.48,54.0,68.0,11.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,18.2,0.8475,0.855,0.08199999999999999,02,Manhattan,0.011,2.4749999999999996,0.0,0.0,1.0,0.0
02M420,high school for health professions and human services,1589.0,0.723,0.277,0.0,0.049,0.158,0.791,0.018,0.08,0.717,0.541,5.8,0.388,0.472,0.265,0.699,14.1,0.857,0.286,0.958,81.3,0.891,0.739,3.42,3.38,3.39,3.32,1.99,3.19,94.0,87.0,21.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,1.225,0.9595,0.6990000000000001,0.294,02,Manhattan,0.314,3.09,0.0,0.0,0.0,1.0
02M422,quest to learn,277.0,0.35,0.65,0.0,0.036,0.303,0.717,0.051,0.116,0.65,0.654,3.7,0.137,0.329,0.0,0.43,1.9,0.846,0.528,0.941,68.7,0.494,0.451,3.01,3.25,3.42,3.08,3.09,3.15,62.0,92.0,37.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,8.55,0.8565,0.696,0.274,02,Manhattan,0.176,2.605,0.0,0.0,0.0,1.0
02M425,leadership and public service high school,277.0,0.585,0.415,0.0,0.058,0.137,0.826,0.04,0.137,0.733,0.35,7.8,0.231,0.538,0.137,0.664,12.2,0.75,0.581,0.953,73.2,0.893,0.478,2.47,2.95,3.68,2.98,3.46,3.12,66.0,100.0,11.0,10006.0,0.0,84.3,25.4,1.6,29.1,96.2,204574.0,0.0,2.7,0.861,0.845,0.134,02,Manhattan,0.107,2.79,0.0,0.0,0.0,0.0
02M427,manhattan academy for arts & language,248.0,0.502,0.498,0.0,0.714,0.065,0.0,0.218,0.456,0.722,0.333,4.9,0.161,0.222,0.0,0.294,13.2,0.8,0.621,0.961,68.6,0.519,0.177,4.39,4.37,3.86,4.73,3.51,3.82,66.0,100.0,51.0,10016.0,1.2,81.9,29.9,6.0,26.2,94.2,145864.0,3.4,6.6,0.759,0.9510000000000001,0.044,02,Manhattan,0.077,2.085,0.0,0.0,0.0,0.0
02M432,murray hill academy,237.0,0.485,0.515,0.0,0.034,0.198,0.777,0.034,0.101,0.709,0.6,6.4,0.447,0.338,0.0,0.511,3.6,1.0,0.633,0.975,79.4,0.277,0.453,4.83,4.79,3.85,4.38,3.05,3.4,69.0,80.0,11.0,10016.0,1.2,81.9,29.9,6.0,26.2,94.2,145864.0,3.4,7.85,0.8614999999999999,0.738,0.249,02,Manhattan,0.106,2.9000000000000004,0.0,0.0,0.0,0.0
02M437,hudson high school of learning technologies,227.0,0.326,0.674,0.0,0.053,0.211,0.796,0.066,0.115,0.696,0.556,6.6,0.52,0.163,0.159,0.595,4.2,0.722,0.558,0.969,70.1,0.643,0.385,3.4736402569593148,3.612055674518201,2.84,3.56,3.442935982339956,3.45,81.0,84.0,6.0,10011.0,1.9,78.9,19.8,9.9,20.3,94.4,145934.0,5.0,5.05,0.9015,0.8679999999999999,0.128,02,Manhattan,0.117,2.74,0.0,0.0,0.0,1.0
02M438,international high school at union square,340.0,0.447,0.553,0.0,0.932,0.024,0.0,0.291,0.406,0.574,0.577,5.3,0.0,0.418,0.129,0.453,8.1,0.808,0.512,0.956,60.4,0.284,0.277,3.53,3.71,3.63,3.7,3.22,4.15,86.0,81.0,52.0,10003.0,2.7,82.0,21.9,6.7,19.3,94.0,152863.0,3.6,7.4,0.865,0.865,0.13,02,Manhattan,0.049,2.035,0.0,0.0,0.0,0.0
02M439,manhattan village academy,430.0,0.549,0.451,0.0,0.028,0.209,0.63,0.023,0.079,0.505,0.633,6.5,0.572,0.519,0.021,0.705,4.1,1.0,0.198,0.961,83.2,0.946,0.798,4.57,3.58,4.18,2.21,3.06,3.15,46.0,81.0,30.0,10010.0,1.0,80.4,23.3,6.6,21.4,93.4,150288.0,5.9,0.8,0.996,0.714,0.277,02,Manhattan,0.521,3.355,0.0,0.0,0.0,1.0
02M449,vanguard high school,426.0,0.5,0.5,0.0,0.054,0.237,0.813,0.061,0.101,0.737,0.412,3.6,0.07,0.272,0.115,0.359,4.1,0.735,0.678,0.943,71.0,0.488,0.379,3.57,3.74,3.51,3.55,3.97,3.7,61.0,80.0,16.0,10065.0,1.3,85.7,29.1,9.4,27.5,92.6,158276.0,1.7,4.7,0.827,0.864,0.126,02,Manhattan,0.073,2.585,0.0,0.0,0.0,0.0
02M459,manhattan international high school,358.0,0.48,0.52,0.0,0.774,0.034,0.931,0.285,0.201,0.606,0.333,3.7,0.154,0.693,0.0,0.712,11.1,0.833,0.413,0.966,61.9,0.281,0.397,4.52,4.24,4.2,4.7,3.94,4.14,83.0,100.0,53.0,10065.0,1.3,85.7,29.1,9.4,27.5,92.6,158276.0,1.7,4.85,0.728,0.76,0.241,02,Manhattan,0.063,2.165,0.0,0.0,0.0,0.0
02M475,stuyvesant high school,3331.0,0.451,0.549,0.0,0.001,0.013,0.43,0.001,0.023,0.351,0.62,7.2,0.684,0.569,0.0,0.823,3.1,0.956,0.065,0.964,94.3,0.993,0.956,4.03,3.21,4.24,3.64,3.09,3.68,87.0,77.0,53.0,10282.0,0.5,80.1,21.3,6.6,18.9,96.3,250001.0,1.6,0.1,0.995,0.061,0.901,02,Manhattan,0.974,4.27,0.0,0.0,0.0,1.0
02M489,high school of economics and finance,680.0,0.45,0.55,0.0,0.031,0.165,0.762,0.026,0.104,0.684,0.596,7.3,0.263,0.353,0.0,0.509,16.2,0.809,0.286,0.959,79.4,0.617,0.603,3.6,3.48,3.81,3.85,2.02,2.86,74.0,67.0,11.0,10006.0,0.0,84.3,25.4,1.6,29.1,96.2,204574.0,0.0,1.6,0.918,0.684,0.305,02,Manhattan,0.283,3.045,0.0,0.0,0.0,0.0
02M500,unity center for urban technologies,244.0,0.402,0.598,0.0,0.066,0.168,0.848,0.041,0.168,0.787,0.43055437100213223,6.8,0.807,0.566,0.0,0.857,16.1,0.882,0.411,0.941,75.8,0.921,0.525,3.57,4.17,3.92,4.16,4.07,4.44,87.0,89.0,91.0,10016.0,1.2,81.9,29.9,6.0,26.2,94.2,145864.0,3.4,0.55,0.951,0.763,0.22,02,Manhattan,0.127,2.7750000000000004,0.0,0.0,0.0,0.0
