,Percent No High School (25+),Percent Bachelor's Degree or Higher (25+),Percent Language Other Than English at Home,Percent Population with Disabilities,Percent Foreign-Born Population,Percent Households with Broadband Internet,Median Household Income,Percent Households on SNAP/Food Stamps,zip code tabulation area
246,0.2,58.1,4.1,11.4,3.4,95.7,92500,4.3,01341
247,0.0,46.6,4.8,4.8,6.2,96.7,99583,15.3,01342
248,2.4,11.0,0.0,6.0,1.2,91.7,76250,9.7,01343
249,2.7,24.5,3.6,15.9,2.3,88.2,70560,15.2,01344
250,2.8,48.6,5.3,10.5,5.1,83.3,105944,12.3,01346
251,7.8,49.7,37.1,20.3,17.3,100.0,74712,26.7,01347
252,0.0,25.5,10.6,10.3,6.3,85.4,70240,21.0,01349
253,0.0,16.0,1.0,28.2,3.9,75.5,-666666666,11.3,01350
254,4.1,43.2,1.6,18.3,1.6,91.0,96389,4.3,01351
255,1.1,46.6,6.8,12.4,7.8,92.2,79135,8.1,01354
256,1.6,30.3,3.2,13.0,2.0,91.7,76739,1.9,01355
257,2.6,45.1,6.2,16.4,4.5,85.6,94775,4.5,01360
258,2.5,16.9,5.2,22.2,4.3,87.7,55773,19.8,01364
259,0.0,43.5,3.0,10.8,2.4,85.2,104205,6.3,01366
260,2.0,26.8,1.7,14.9,1.6,84.3,78125,13.1,01367
261,1.2,24.8,1.0,11.5,1.2,74.2,98542,9.5,01368
262,0.8,52.7,6.3,13.9,4.8,90.9,74680,12.6,01370
263,0.2,43.2,5.7,11.2,5.4,84.1,96546,4.9,01373
264,0.8,53.7,15.4,11.0,13.0,94.1,59185,4.4,01375
265,1.8,30.1,7.4,18.0,3.7,80.5,53671,22.1,01376
266,0.9,39.7,3.8,12.7,3.1,85.6,89643,9.8,01378
267,0.3,49.4,4.1,16.6,3.6,79.2,66290,23.2,01379
268,0.0,36.0,0.0,16.0,0.0,100.0,-666666666,0.0,01380
269,6.1,23.6,28.7,15.8,10.2,88.3,65599,24.1,01420
270,2.0,38.4,5.6,7.5,3.5,96.6,111801,5.6,01430
271,2.1,41.5,3.5,8.0,3.9,95.5,105750,1.7,01431
272,5.4,39.5,11.4,14.5,7.6,90.6,99375,7.3,01432
273,2.9,31.6,30.0,0.7,21.6,100.0,106875,2.2,01434
274,9.4,22.1,1.0,8.8,1.2,80.0,90225,12.0,01436
275,0.0,26.8,0.3,3.6,3.1,100.0,83953,16.5,01438
276,3.9,19.5,11.8,15.9,8.6,86.9,57289,18.0,01440
277,2.3,63.4,8.8,7.0,9.5,96.8,186750,4.0,01450
278,0.6,76.3,16.0,6.1,8.2,97.8,199191,1.3,01451
279,1.0,30.7,5.0,10.9,5.0,90.8,114922,10.0,01452
280,4.2,33.2,21.7,13.6,14.7,91.7,75954,14.4,01453
281,1.3,56.8,8.0,10.5,9.0,97.0,151488,4.7,01460
282,1.6,41.6,8.0,11.8,4.7,94.7,106473,6.4,01462
283,1.3,44.0,9.6,12.7,8.7,94.1,124052,8.2,01463
284,1.5,32.6,11.8,14.9,8.4,93.4,114118,3.0,01464
285,0.6,35.0,3.7,11.8,0.6,94.9,106581,10.9,01468
286,1.3,39.5,8.0,9.5,5.5,93.1,100402,5.1,01469
287,2.7,40.2,3.6,7.3,2.0,91.8,95674,5.0,01473
288,2.9,31.6,1.1,14.5,1.4,91.4,117109,5.5,01474
289,1.6,23.5,8.1,12.9,4.2,90.0,85379,16.5,01475
290,3.1,41.9,8.5,13.6,6.6,90.9,101992,8.8,01501
291,0.3,53.9,8.5,14.3,7.5,89.3,123077,5.8,01503
292,0.8,34.0,13.1,13.2,5.8,93.5,95132,7.3,01504
293,0.8,53.4,8.4,8.7,6.9,97.7,133292,4.6,01505
294,1.6,26.0,1.8,14.4,1.9,81.9,71122,6.7,01506
295,0.7,39.3,7.0,12.6,3.2,92.9,113896,7.7,01507
296,1.9,37.0,21.3,10.8,14.9,90.7,89888,9.7,01510
297,0.4,26.0,5.5,13.6,4.7,88.2,77122,10.7,01515
298,1.3,40.2,3.5,9.0,2.5,90.8,138276,6.6,01516
299,2.1,44.5,11.6,12.2,4.4,99.5,102500,16.0,01518
300,1.8,63.4,12.0,9.0,5.6,94.9,144452,0.6,01519
301,1.7,60.1,13.2,9.6,9.0,94.0,141508,4.3,01520
302,1.1,30.6,5.0,14.4,2.2,91.6,81250,8.2,01521
303,0.8,55.1,8.7,7.4,6.8,97.6,116894,2.6,01522
304,1.7,51.1,12.4,10.7,6.8,93.9,111506,10.1,01523
305,2.3,28.4,4.6,9.8,4.3,90.9,88933,5.4,01524
306,0.0,0.0,0.0,0.0,0.0,100.0,-666666666,0.0,01525
307,2.2,32.8,11.4,11.2,9.6,94.6,109119,9.8,01527
308,0.3,29.8,12.5,15.4,6.2,85.6,95144,4.3,01529
309,3.3,36.0,6.0,12.1,8.0,84.3,99318,5.0,01531
310,1.1,65.2,16.4,8.7,15.5,97.4,160801,4.2,01532
311,1.4,40.4,12.3,12.7,5.0,91.1,123370,5.5,01534
312,1.2,29.9,2.5,16.8,1.5,84.7,80380,8.2,01535
313,1.6,46.6,19.7,12.8,12.0,92.6,103793,12.1,01536
314,2.1,32.8,6.7,11.0,5.1,80.8,67750,9.0,01537
315,2.0,25.8,9.3,14.9,5.3,88.3,100757,13.1,01540
316,0.3,63.7,4.1,5.3,3.6,95.7,163750,2.8,01541
317,0.9,27.0,5.4,16.3,5.0,90.3,106719,7.4,01542
318,0.7,41.8,5.2,7.8,3.7,98.6,150685,7.3,01543
319,1.6,65.4,32.6,8.9,25.2,94.6,127088,5.4,01545
320,8.2,17.0,33.9,19.0,4.3,86.9,55182,34.7,01550
321,0.7,49.4,16.8,9.7,13.8,95.5,94464,2.5,01560
322,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666,-666666666.0,01561
323,3.9,24.2,5.1,15.9,3.8,89.6,76225,9.4,01562
324,0.3,49.7,3.7,12.0,3.9,96.1,131058,5.7,01564
325,0.5,43.4,6.1,10.2,5.5,93.8,122844,5.6,01566
326,0.7,58.0,13.6,8.3,7.7,91.5,147198,3.6,01568
327,1.8,36.2,4.6,11.9,7.0,95.1,124057,4.6,01569
328,3.3,26.1,17.7,18.5,9.0,86.2,70644,15.6,01570
329,2.1,27.9,13.6,15.4,8.7,90.4,87306,14.1,01571
330,1.5,68.8,33.8,7.9,29.2,95.3,133145,4.0,01581
331,2.3,39.5,10.2,13.8,5.7,91.0,97736,7.0,01583
332,2.4,26.3,2.6,17.3,2.6,92.8,69767,8.1,01585
333,1.4,29.5,10.8,14.3,5.5,89.3,88487,11.6,01588
334,0.3,46.5,4.7,7.7,4.0,89.5,138750,4.0,01590
335,4.6,45.6,29.2,13.6,21.5,90.7,86128,15.3,01602
336,6.0,22.2,43.4,15.3,25.2,88.1,58797,25.8,01603
337,5.0,31.7,40.0,13.0,27.9,89.6,68823,21.4,01604
338,6.7,28.6,47.9,17.4,23.2,84.6,51360,35.9,01605
339,3.0,40.1,25.4,13.5,14.1,89.3,82640,13.5,01606
340,8.0,30.0,28.7,16.6,20.0,89.1,63718,26.1,01607
341,15.3,32.5,47.7,9.4,27.0,85.8,41319,22.9,01608
342,4.6,44.9,29.2,14.4,19.1,85.6,58246,24.4,01609
343,13.3,19.7,50.8,16.0,28.7,82.9,39570,41.8,01610
344,1.4,28.7,7.0,12.6,5.3,85.2,113276,7.6,01611
345,1.1,51.1,14.8,10.3,9.4,93.0,130787,4.2,01612
346,1.5,60.4,26.6,9.3,19.3,95.4,124532,6.8,01701
347,9.0,40.6,54.5,12.1,40.5,92.8,76636,16.8,01702
348,0.0,75.3,45.5,5.7,37.3,100.0,-666666666,0.0,01718
349,1.7,78.5,24.6,3.5,25.7,98.2,151207,5.3,01719
